SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,StreamingTV,PaperlessBilling,MonthlyCharges,TotalCharges,numAdminTickets,numTechTickets,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_actual,Churn_prob,Customer_Value,Priority_Score
0,1,1,68,1,1,1,1,113.15,7856.0,0,8,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,1,0.9672616960265422,2715.6000000000004,2626.695861729678
1,0,0,56,1,0,1,1,111.95,6418.9,0,6,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,1,0.9656434285814932,2686.8,2594.490763912756
1,1,0,65,1,0,1,1,106.25,6979.8,2,8,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,1,0.9946014955255645,2550.0,2536.2338135901896
0,1,1,67,1,1,1,1,111.3,7482.1,0,7,True,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,1,0.9406309443273186,2671.2,2512.6133784871336
0,0,0,34,1,0,1,1,106.35,3549.25,0,4,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,1,0.9665898355186384,2552.3999999999996,2467.123896177772
1,0,0,37,1,1,1,1,106.75,4056.75,0,4,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1,0.9417894059440338,2562.0,2412.8644580286145
1,1,0,62,1,0,1,1,103.75,6383.35,0,6,True,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,1,0.9552715800950735,2490.0,2378.626234436733
0,1,1,61,1,0,1,1,99.15,6010.05,0,8,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0.9968333835338083,2379.6000000000004,2372.0647194570506
1,1,0,61,1,0,1,1,104.4,6405.0,0,6,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False,1,0.9391210925274308,2505.6000000000004,2353.061809436731
0,0,0,54,1,0,1,0,111.1,6014.85,0,5,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,1,0.881962234649413,2666.3999999999996,2351.6641024691944
1,0,0,42,1,0,1,1,104.75,4323.45,0,4,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,1,0.9322990820684234,2514.0,2343.799892320016
0,1,0,47,1,1,1,1,98.75,4533.7,0,6,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,1,0.9856325948315512,2370.0,2335.9492497507763
0,1,1,61,1,1,1,1,106.0,6547.7,0,6,True,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,1,0.9108646497224976,2544.0,2317.239668894034
0,1,1,69,1,0,1,1,99.45,7007.6,0,7,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,1,0.9590495592581384,2386.8,2289.059488037325
1,0,0,30,1,0,1,1,99.7,2967.35,0,3,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0.9542271155291628,2392.8,2283.274642038181
0,0,0,30,1,0,1,1,100.2,2983.8,0,3,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0.9417939003086532,2404.8,2264.8259714622495
0,1,0,60,1,0,1,1,94.4,5610.25,2,7,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,1,0.9839663288953285,2265.6000000000004,2229.2741147452566
0,1,0,70,1,1,1,0,115.65,7968.85,2,7,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,1,0.8005813307126051,2775.6000000000004,2222.093541525907
1,1,0,57,1,0,0,1,95.25,5427.05,0,6,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,1,0.9718467275525752,2286.0,2221.6416191851868
0,0,0,53,1,1,1,1,106.95,5785.5,0,5,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,1,0.8648394871364529,2566.8,2219.8699955818474
0,1,0,61,1,0,1,1,94.1,5638.3,0,7,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,1,0.9823860224670091,2258.3999999999996,2218.620593139493
1,1,0,24,1,0,1,1,104.25,2433.9,0,2,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,1,0.8775946836087647,2502.0,2195.7418983891293
0,0,0,63,1,0,1,0,99.9,6137.0,3,6,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,1,0.9126250426536473,2397.6000000000004,2188.109802266385
